position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
15|4192|S. ROBSON WALTON|46.2|0.0|Fashion & Retail |Walmart|73|Male|https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
16|1243|ALICE WALTON|46.0|0.0|Fashion & Retail |Walmart|68|Female|https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
17|7481|MA HUATENG|45.3|0.001|Technology |internet media|46|Male|https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
18|5166|FRANCOISE BETTENCOURT MEYERS|42.2|0.0|Fashion & Retail |L'Oreal|64|Unknown|https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
19|6778|MUKESH AMBANI|40.1|0.0|Energy |petrochemicals, oil & gas|61|Unknown|https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
20|3425|JACK MA|39.0|0.0|Technology |e-commerce|53|Male|https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
21|8656|SHELDON ADELSON|38.5|0.0|Gambling & Casinos |casinos|84|Male|https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
22|3184|STEVE BALLMER|38.4|0.0|Technology |Microsoft|62|Male|https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
23|4474|LI KA-SHING|34.9|0.001|Diversified |diversified|90|Male|https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
24|3500|HUI KA YAN|30.3|0.0|Real Estate |real estate|59|Male|https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
25|1569|LEE SHAU KEE|30.3|0.0|Real Estate |real estate|90|Unknown|https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
26|8102|WANG JIANLIN|30.0|0.0|Real Estate |real estate|63|Male|https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
27|4840|BEATE HEISTER & KARL ALBRECHT JR.|29.8|0.0|Fashion & Retail |supermarkets|66|Unknown|https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
28|2353|PHIL KNIGHT|29.6|0.0|Fashion & Retail |Nike|80|Male|https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
29|2892|JORGE PAULO LEMANN|27.4|-672.311|Food and Beverage |beer|78|Male|https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
30|7029|FRANCOIS PINAULT|27.0|0.0|Fashion & Retail |luxury goods|81|Unknown|https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
31|2888|GEORG SCHAEFFLER|25.3|0.0|Automotive |auto parts|53|Male|https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
32|4982|SUSANNE KLATTEN|25.0|0.0|Automotive |BMW, pharmaceuticals|56|Female|https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
33|7251|DAVID THOMSON|25.0|0.0|Media & Entertainment |media|61|Male|https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
34|5316|JACQUELINE MARS|23.6|0.0|Food and Beverage |candy, pet food|78|Female|https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
